Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","112’706’235.00","0.38","112’706’235.00","1’289’250.00","87.42","United States","NASDAQ","USD"
"INTU","INTUIT INC","Information Technology","Equity","110’372’223.15","0.37","110’372’223.15","362’649.00","304.35","United States","NASDAQ","USD"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","109’709’575.95","0.37","109’709’575.95","329’785.00","332.67","United States","NASDAQ","USD"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","109’077’175.44","0.37","109’077’175.44","66’186.00","1’648.04","United States","NASDAQ","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","107’149’127.36","0.36","107’149’127.36","64’432.00","1’662.98","United States","NASDAQ","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","102’747’124.72","0.35","102’747’124.72","1’677’778.00","61.24","United States","NASDAQ","USD"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","100’312’088.56","0.34","100’312’088.56","427’442.00","234.68","United States","NASDAQ","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","98’714’016.83","0.33","98’714’016.83","1’098’409.00","89.87","United States","NASDAQ","USD"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","95’565’868.65","0.32","95’565’868.65","427’301.00","223.65","United States","NASDAQ","USD"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","92’445’114.30","0.31","92’445’114.30","706’227.00","130.90","United States","NASDAQ","USD"
"CTAS","CINTAS CORP","Industrials","Equity","89’033’696.19","0.30","89’033’696.19","520’391.00","171.09","United States","NASDAQ","USD"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","88’075’485.00","0.30","88’075’485.00","3’262’055.00","27.00","United States","NASDAQ","USD"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","86’542’403.92","0.29","86’542’403.92","1’296’904.00","66.73","United States","NASDAQ","USD"
